sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:50:12","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-60","0.3","03-12-2015 14:50:12","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:50:14","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:50:15","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:50:15","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:16","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:16","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:17","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:18","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:19","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:20","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:21","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:22","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:23","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-67","0.3","03-12-2015 14:50:24","GT-I9515 - 1a88bbcf523c933c","38"
