ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:52;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:53;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:08;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:09;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:24;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:39;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:40;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:41;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:41;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:56;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:00:57;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:11;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:13;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:28;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:29;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:44;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:45;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:01:59;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:01;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:16;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:16;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:17;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:47;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:48;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:48;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:02:49;GT-I9515 - 1a88bbcf523c933c;33;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:03:05;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:03:20;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:03:21;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:03:36;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-50;0,3;03-12-2015 15:03:37;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-50;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 15:03:37;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-59;0,5;03-12-2015 15:04:24;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-59;;;
F4:1C:50:21:23:FD;4;-59;0,5;03-12-2015 15:04:24;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-59;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:04:40;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-57;0,5;03-12-2015 15:04:41;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-57;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:04:56;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:04:57;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-55;0,5;03-12-2015 15:05:11;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-55;;;
F4:1C:50:21:23:FD;4;-55;0,5;03-12-2015 15:05:12;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-55;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:13;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:28;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:28;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:29;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:45;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:45;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:05:45;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:00;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-57;0,5;03-12-2015 15:06:16;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-57;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:32;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:32;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:32;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:33;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:48;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:06:48;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:03;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:04;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:20;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:21;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:37;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:53;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-58;0,5;03-12-2015 15:07:53;GT-I9515 - 1a88bbcf523c933c;32;;;;;;0,5;-58;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:08:56;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:08:57;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:12;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:27;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:28;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:29;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:44;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:09:44;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:10:00;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:10:01;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:10:16;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
F4:1C:50:21:23:FD;4;-62;0,75;03-12-2015 15:10:17;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-62;;;
